Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
119,tt11145118,2023-05-14,2023-05-14,,"Creed III","Creed III",https://www.imdb.com/title/tt11145118/,Movie,6.7,116,2023,"Action, Drama, Sport",106613,2023-03-03,"Michael B. Jordan",,
120,tt6987770,2023-05-20,2023-05-20,,"Destination Wedding","Destination Wedding",https://www.imdb.com/title/tt6987770/,Movie,6.0,87,2018,"Comedy, Drama, Romance",36444,2018-09-07,"Victor Levin",,
121,tt4873118,2023-05-26,2023-05-26,,"The Covenant","The Covenant",https://www.imdb.com/title/tt4873118/,Movie,7.5,123,2023,"Action, Drama, Thriller, War",207913,2023-04-21,"Guy Ritchie",,
122,tt0086197,2023-06-12,2023-06-12,,"The Right Stuff","The Right Stuff",https://www.imdb.com/title/tt0086197/,Movie,7.8,193,1983,"Adventure, Biography, Drama, History",68908,1984-02-17,"Philip Kaufman",,
123,tt1821549,2023-06-12,2023-06-12,,"Nebraska","Nebraska",https://www.imdb.com/title/tt1821549/,Movie,7.7,115,2013,"Drama",128354,2014-01-24,"Alexander Payne",,
124,tt0479884,2023-06-12,2023-06-12,,"Crank","Crank",https://www.imdb.com/title/tt0479884/,Movie,6.9,88,2006,"Action, Crime, Thriller",276792,2006-09-01,"Mark Neveldine, Brian Taylor",,
125,tt0070723,2023-06-12,2023-06-12,,"Soylent Green","Soylent Green",https://www.imdb.com/title/tt0070723/,Movie,7.0,97,1973,"Crime, Mystery, Sci-Fi, Thriller",75027,1973-05-09,"Richard Fleischer",,
126,tt0074812,2023-06-12,2023-06-12,,"Logan's Run","Logan's Run",https://www.imdb.com/title/tt0074812/,Movie,6.8,119,1976,"Action, Adventure, Sci-Fi",65341,1976-06-23,"Michael Anderson",,
127,tt0066769,2023-06-12,2023-06-12,,"The Andromeda Strain","The Andromeda Strain",https://www.imdb.com/title/tt0066769/,Movie,7.2,131,1971,"Mystery, Sci-Fi, Thriller",43895,1971-03-12,"Robert Wise",,
128,tt1379182,2023-06-12,2023-06-12,,"Dogtooth","Kynodontas",https://www.imdb.com/title/tt1379182/,Movie,7.1,97,2009,"Drama, Thriller",122544,2009-11-11,"Yorgos Lanthimos",,
129,tt1226774,2023-06-12,2023-06-12,,"In the Loop","In the Loop",https://www.imdb.com/title/tt1226774/,Movie,7.4,106,2009,"Comedy",64131,2009-09-04,"Armando Iannucci",,
130,tt0200276,2023-06-12,2023-06-12,,"The West Wing","The West Wing",https://www.imdb.com/title/tt0200276/,TV Series,8.9,42,1999,"Drama",98815,1999-09-22,,,
131,tt8503618,2023-06-18,2023-06-18,,"Hamilton","Hamilton",https://www.imdb.com/title/tt8503618/,Movie,8.3,160,2020,"Biography, Drama, History, Musical",138243,2020-07-03,"Thomas Kail",,
132,tt0087469,2023-07-01,2023-07-01,,"Indiana Jones and the Temple of Doom","Indiana Jones and the Temple of Doom",https://www.imdb.com/title/tt0087469/,Movie,7.5,118,1984,"Action, Adventure",566246,1984-05-23,"Steven Spielberg",,
133,tt0099785,2023-07-01,2023-07-01,,"Home Alone","Home Alone",https://www.imdb.com/title/tt0099785/,Movie,7.8,103,1990,"Comedy, Family",740982,1990-11-16,"Chris Columbus",,
134,tt14362262,2023-07-03,2023-07-03,,"The Boss","El Encargado",https://www.imdb.com/title/tt14362262/,TV Series,8.0,30,2022,"Comedy, Drama, Mystery, Thriller",7033,2022-10-26,,,
135,tt0078346,2023-07-06,2023-07-06,,"Superman","Superman",https://www.imdb.com/title/tt0078346/,Movie,7.4,143,1978,"Action, Adventure, Sci-Fi",207037,1978-12-15,"Richard Donner",,
136,tt7599146,2023-07-10,2023-07-10,,"Sound of Freedom","Sound of Freedom",https://www.imdb.com/title/tt7599146/,Movie,7.6,131,2023,"Biography, Crime, Drama, History, Thriller",136695,2023-07-04,"Alejandro Monteverde",,
137,tt0070643,2023-07-25,2023-07-25,,"Scarecrow","Scarecrow",https://www.imdb.com/title/tt0070643/,Movie,7.2,112,1973,"Drama",21923,1973-04-11,"Jerry Schatzberg",,
138,tt0120863,2023-07-25,2023-07-25,,"The Thin Red Line","The Thin Red Line",https://www.imdb.com/title/tt0120863/,Movie,7.6,170,1998,"Drama, History, War",212363,1999-01-15,"Terrence Malick",,
139,tt0056172,2023-07-25,2023-07-25,,"Lawrence of Arabia","Lawrence of Arabia",https://www.imdb.com/title/tt0056172/,Movie,8.3,227,1962,"Adventure, Biography, Drama, War",340811,1962-12-16,"David Lean",,
140,tt1800302,2023-07-30,2023-07-30,,"Gold","Gold",https://www.imdb.com/title/tt1800302/,Movie,6.7,120,2016,"Biography, Crime, Drama, Mystery",74042,2017-01-27,"Stephen Gaghan",,
141,tt0083946,2023-08-12,2023-08-12,,"Fitzcarraldo","Fitzcarraldo",https://www.imdb.com/title/tt0083946/,Movie,7.9,158,1982,"Adventure, Drama, Music",42674,1982-10-10,"Werner Herzog",,
142,tt14176542,2023-08-25,2023-08-25,,"Bardo: False Chronicle of a Handful of Truths","Bardo, falsa crónica de unas cuantas verdades",https://www.imdb.com/title/tt14176542/,Movie,6.7,159,2022,"Comedy, Drama",16424,2022-12-16,"Alejandro G. Iñárritu",,
143,tt5021208,2023-08-25,2023-08-25,,"Throwing Bombs in Baghdad","Hands of God",https://www.imdb.com/title/tt5021208/,Movie,7.2,75,2020,"Sport, War",27,2020-12-25,"Riccardo Romani",,
144,tt1164999,2023-09-04,2023-09-04,,"Biutiful","Biutiful",https://www.imdb.com/title/tt1164999/,Movie,7.4,148,2010,"Drama, Romance",97846,2011-02-04,"Alejandro G. Iñárritu",,
145,tt29474455,2023-11-09,2023-11-09,,"South Park: Joining the Panderverse","South Park: Joining the Panderverse",https://www.imdb.com/title/tt29474455/,TV Movie,7.8,48,2023,"Animation, Comedy, Fantasy",13782,2023-10-27,"Trey Parker",,
146,tt14849194,2023-11-10,2023-11-10,,"The Holdovers","The Holdovers",https://www.imdb.com/title/tt14849194/,Movie,7.9,133,2023,"Comedy, Drama",246031,2023-11-10,"Alexander Payne",,
147,tt14230458,2023-11-10,2023-11-10,,"Poor Things","Poor Things",https://www.imdb.com/title/tt14230458/,Movie,7.7,141,2023,"Comedy, Drama, Romance, Sci-Fi",389554,2023-12-22,"Yorgos Lanthimos",,
148,tt0058331,2023-12-03,2023-12-03,,"Mary Poppins","Mary Poppins",https://www.imdb.com/title/tt0058331/,Movie,7.8,139,1964,"Comedy, Family, Fantasy, Musical",198134,1965-06-18,"Robert Stevenson",,
149,tt21867434,2024-01-01,2024-01-01,,"BlackBerry","BlackBerry",https://www.imdb.com/title/tt21867434/,Movie,7.3,120,2023,"Biography, Comedy, Drama, History",68688,2023-11-13,"Matt Johnson",,
150,tt10128846,2024-05-16,2024-05-16,,"Megalopolis","Francis Ford Coppola's Megalopolis: A Fable",https://www.imdb.com/title/tt10128846/,Movie,4.7,138,2024,"Drama, Fantasy, Sci-Fi",41649,2024-09-27,"Francis Ford Coppola",,
151,tt15445056,2024-05-30,2024-05-30,,"Athena","Athena",https://www.imdb.com/title/tt15445056/,Movie,6.8,99,2022,"Action, Drama, Thriller",25433,2022-09-23,"Romain Gavras",,
152,tt1103275,2024-07-14,2024-07-14,,"Two Lovers","Two Lovers",https://www.imdb.com/title/tt1103275/,Movie,7.0,110,2008,"Drama, Romance",45732,2009-03-20,"James Gray",,
153,tt0106611,2024-07-17,2024-07-17,,"Cool Runnings","Cool Runnings",https://www.imdb.com/title/tt0106611/,Movie,7.0,98,1993,"Adventure, Comedy, Family, History, Sport",123130,1993-10-01,"Jon Turteltaub",,
154,tt0105417,2024-07-17,2024-07-17,,"Sister Act","Sister Act",https://www.imdb.com/title/tt0105417/,Movie,6.6,100,1992,"Comedy, Family, Music",117984,1992-05-29,"Emile Ardolino",,
155,tt26933824,2024-10-07,2024-10-07,,"Nobody Wants This","Nobody Wants This",https://www.imdb.com/title/tt26933824/,TV Series,7.7,30,2024,"Comedy, Drama, Romance",81863,2024-09-26,,,
156,tt0089218,2024-11-01,2024-11-01,,"The Goonies","The Goonies",https://www.imdb.com/title/tt0089218/,Movie,7.7,114,1985,"Adventure, Comedy, Family",325405,1985-06-07,"Richard Donner",,
157,tt1684562,2024-11-01,2024-11-01,,"The Fall Guy","The Fall Guy",https://www.imdb.com/title/tt1684562/,Movie,6.8,126,2024,"Action, Comedy, Drama, Romance",257014,2024-05-03,"David Leitch",,
158,tt12299608,2024-11-07,2024-11-07,,"Mickey 17","Mickey 17",https://www.imdb.com/title/tt12299608/,Movie,6.7,137,2025,"Adventure, Comedy, Fantasy, Sci-Fi",240276,2025-03-07,"Bong Joon Ho",,
159,tt9603208,2024-11-13,2024-11-13,,"Mission: Impossible - The Final Reckoning","Mission: Impossible - The Final Reckoning",https://www.imdb.com/title/tt9603208/,Movie,7.1,169,2025,"Action, Adventure, Thriller",223441,2025-05-23,"Christopher McQuarrie",,
160,tt13622970,2024-11-13,2024-11-13,,"Moana 2","Moana 2",https://www.imdb.com/title/tt13622970/,Movie,6.3,100,2024,"Animation, Adventure, Comedy, Family, Fantasy, Musical",124147,2024-11-27,"David G. Derrick Jr., Jason Hand, Dana Ledoux Miller",,
161,tt28607951,2024-11-16,2024-11-16,,"Anora","Anora",https://www.imdb.com/title/tt28607951/,Movie,7.4,139,2024,"Comedy, Drama, Romance",268545,2024-11-08,"Sean Baker",,
162,tt20215234,2024-11-16,2024-11-16,,"Conclave","Conclave",https://www.imdb.com/title/tt20215234/,Movie,7.4,120,2024,"Drama, Thriller",256247,2024-10-25,"Edward Berger",,
163,tt23736044,2024-11-16,2024-11-16,,"Monster","Kaibutsu",https://www.imdb.com/title/tt23736044/,Movie,7.8,127,2023,"Drama, Mystery, Thriller",40826,2023-11-22,"Hirokazu Koreeda",,
164,tt13429870,2024-11-16,2024-11-16,,"Robot Dreams","Robot Dreams",https://www.imdb.com/title/tt13429870/,Movie,7.6,103,2023,"Animation, Comedy, Drama, Family",24469,2024-06-07,"Pablo Berger",,
165,tt17526714,2024-11-16,2024-11-16,,"The Substance","The Substance",https://www.imdb.com/title/tt17526714/,Movie,7.2,141,2024,"Drama, Horror, Sci-Fi",413016,2024-09-20,"Coralie Fargeat",,
166,tt0087538,2024-11-24,2024-11-24,,"The Karate Kid","The Karate Kid",https://www.imdb.com/title/tt0087538/,Movie,7.3,126,1984,"Action, Drama, Family, Sport",270118,1984-06-22,"John G. Avildsen",,
167,tt0319343,2024-11-24,2024-11-24,,"Elf","Elf",https://www.imdb.com/title/tt0319343/,Movie,7.1,97,2003,"Adventure, Comedy, Family, Fantasy, Romance",345969,2003-11-07,"Jon Favreau",,
168,tt31392609,2024-12-12,2024-12-12,,"How to Make Millions Before Grandma Dies","Lahn Mah",https://www.imdb.com/title/tt31392609/,Movie,7.9,125,2024,"Comedy, Drama, Family",21656,2024-09-13,"Pat Boonnitipat",,
169,tt23055660,2024-12-14,2024-12-14,,"Nickel Boys","Nickel Boys",https://www.imdb.com/title/tt23055660/,Movie,6.9,140,2024,"Drama",24037,2025-02-28,"RaMell Ross",,
170,tt6166392,2024-12-15,2024-12-15,,"Wonka","Wonka",https://www.imdb.com/title/tt6166392/,Movie,6.9,116,2023,"Adventure, Comedy, Family, Fantasy, Musical",192143,2023-12-15,"Paul King",,
171,tt0367594,2024-12-15,2024-12-15,,"Charlie and the Chocolate Factory","Charlie and the Chocolate Factory",https://www.imdb.com/title/tt0367594/,Movie,6.7,115,2005,"Adventure, Comedy, Family, Fantasy, Musical",569234,2005-07-15,"Tim Burton",,
172,tt0067992,2024-12-15,2024-12-15,,"Willy Wonka & the Chocolate Factory","Willy Wonka & the Chocolate Factory",https://www.imdb.com/title/tt0067992/,Movie,7.8,100,1971,"Adventure, Comedy, Family, Fantasy, Musical",244275,1971-06-30,"Mel Stuart",,
173,tt13354972,2024-12-25,2024-12-25,,"Interior Chinatown","Interior Chinatown",https://www.imdb.com/title/tt13354972/,TV Mini Series,7.0,45,2024,"Comedy, Crime, Drama",5731,2024-11-19,,,
174,tt30321133,2024-12-25,2024-12-25,,"Will & Harper","Will & Harper",https://www.imdb.com/title/tt30321133/,Movie,7.4,114,2024,"Documentary",13711,2024-09-27,"Josh Greenbaum",,
175,tt14260836,2025-01-05,2025-01-05,,"Better Man","Better Man",https://www.imdb.com/title/tt14260836/,Movie,7.5,135,2024,"Biography, Fantasy, Music, Musical",44824,2025-01-10,"Michael Gracey",,
176,tt0119395,2025-01-07,2025-01-07,,"The Jackal","The Jackal",https://www.imdb.com/title/tt0119395/,Movie,6.4,124,1997,"Action, Crime, Drama, Thriller",131778,1997-11-14,"Michael Caton-Jones",,
177,tt17279496,2025-01-31,2025-01-31,,"Civil War","Civil War",https://www.imdb.com/title/tt17279496/,Movie,7.0,109,2024,"Action, Thriller, War",265989,2024-04-12,"Alex Garland",,
178,tt0103939,2025-02-08,2025-02-08,,"Chaplin","Chaplin",https://www.imdb.com/title/tt0103939/,Movie,7.5,143,1992,"Biography, Comedy, Drama",65414,1993-01-08,"Richard Attenborough",,
179,tt12676326,2025-02-10,2025-02-10,,"Malcolm & Marie","Malcolm & Marie",https://www.imdb.com/title/tt12676326/,Movie,6.6,106,2021,"Drama, Romance",43339,2021-02-05,"Sam Levinson",,
180,tt0095497,2025-02-10,2025-02-10,,"The Last Temptation of Christ","The Last Temptation of Christ",https://www.imdb.com/title/tt0095497/,Movie,7.5,164,1988,"Drama",67670,1988-08-12,"Martin Scorsese",,
181,tt0071360,2025-02-18,2025-02-18,,"The Conversation","The Conversation",https://www.imdb.com/title/tt0071360/,Movie,7.7,113,1974,"Drama, Mystery, Thriller",136363,1974-04-12,"Francis Ford Coppola",,
182,tt0062136,2025-02-18,2025-02-18,,"Playtime","Playtime",https://www.imdb.com/title/tt0062136/,Movie,7.8,155,1967,"Comedy",29274,1973-06-27,"Jacques Tati",,
183,tt4772188,2025-03-03,2025-03-03,,"Flow","Straume",https://www.imdb.com/title/tt4772188/,Movie,7.8,85,2024,"Animation, Adventure, Family, Fantasy",125111,2025-02-14,"Gints Zilbalodis",,
184,tt14961016,2025-03-09,2025-03-09,,"I'm Still Here","Ainda Estou Aqui",https://www.imdb.com/title/tt14961016/,Movie,8.1,137,2024,"Biography, Drama, History",146404,2025-02-07,"Walter Salles",,
185,tt34956443,2025-03-09,2025-03-09,,"Ne Zha 2","Nezha: Mo tong nao hai",https://www.imdb.com/title/tt34956443/,Movie,7.9,144,2025,"Animation, Action, Adventure, Comedy, Drama, Fantasy",23734,2025-01-29,"Yu Yang",,
186,tt34686029,2025-03-19,2025-03-19,,"Bill Burr: Drop Dead Years","Bill Burr: Drop Dead Years",https://www.imdb.com/title/tt34686029/,TV Special,7.3,69,2025,"Documentary, Comedy",3860,2025-03-14,"Ben Tishler",,
187,tt29879921,2025-03-22,2025-03-22,,"Tune Out the Noise","Tune Out the Noise",https://www.imdb.com/title/tt29879921/,Movie,7.3,86,2023,"Documentary",95,2023-10-21,"Errol Morris",,
188,tt0186151,2025-03-23,2025-03-23,,"Frequency","Frequency",https://www.imdb.com/title/tt0186151/,Movie,7.4,118,2000,"Crime, Drama, Mystery, Sci-Fi, Thriller",123077,2000-04-28,"Gregory Hoblit",,
189,tt3402138,2025-04-06,2025-04-06,,"The Naked Gun","The Naked Gun",https://www.imdb.com/title/tt3402138/,Movie,6.3,85,2025,"Action, Comedy, Crime",122163,2025-08-01,"Akiva Schaffer",,
190,tt11655566,2025-04-06,2025-04-06,,"Lilo & Stitch","Lilo & Stitch",https://www.imdb.com/title/tt11655566/,Movie,6.7,108,2025,"Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",93012,2025-05-23,"Dean Fleischer Camp",,
191,tt0275847,2025-04-06,2025-04-06,,"Lilo & Stitch","Lilo & Stitch",https://www.imdb.com/title/tt0275847/,Movie,7.4,85,2002,"Animation, Adventure, Comedy, Drama, Family, Sci-Fi",242723,2002-06-21,"Dean DeBlois, Chris Sanders",,
192,tt0216787,2025-04-08,2025-04-08,,"The Taste of Others","Le goût des autres",https://www.imdb.com/title/tt0216787/,Movie,7.2,112,2000,"Comedy, Drama, Romance",11149,2000-03-01,"Agnès Jaoui",,
193,tt1817273,2025-04-08,2025-04-08,,"The Place Beyond the Pines","The Place Beyond the Pines",https://www.imdb.com/title/tt1817273/,Movie,7.3,140,2012,"Crime, Drama, Thriller",308064,2013-04-19,"Derek Cianfrance",,
194,tt0079820,2025-04-08,2025-04-08,,"The King and the Mockingbird","Le roi et l'oiseau",https://www.imdb.com/title/tt0079820/,Movie,7.7,83,1980,"Animation, Family, Fantasy, Romance",6045,1980-03-19,"Paul Grimault",,
195,tt0181627,2025-04-08,2025-04-08,,"Kirikou and the Sorceress","Kirikou et la sorcière",https://www.imdb.com/title/tt0181627/,Movie,7.5,71,1998,"Animation, Adventure, Family, Fantasy",12039,2000-10-27,"Michel Ocelot, Raymond Burlet",,
196,tt1259528,2025-06-03,2025-06-03,,"Den of Thieves","Den of Thieves",https://www.imdb.com/title/tt1259528/,Movie,7.0,140,2018,"Action, Crime, Drama, Thriller",152676,2018-01-19,"Christian Gudegast",,
197,tt2140479,2025-06-10,2025-06-10,,"The Accountant","The Accountant",https://www.imdb.com/title/tt2140479/,Movie,7.3,128,2016,"Action, Crime, Drama, Thriller",394057,2016-10-14,"Gavin O'Connor",,
198,tt27403986,2025-06-10,2025-06-10,,"Juror #2","Juror #2",https://www.imdb.com/title/tt27403986/,Movie,7.0,114,2024,"Crime, Drama, Mystery, Thriller",123593,2024-12-20,"Clint Eastwood",,
199,tt29927144,2025-06-12,2025-06-12,,"Once Upon My Mother","Ma mère, Dieu et Sylvie Vartan",https://www.imdb.com/title/tt29927144/,Movie,7.0,102,2025,"Drama",1777,2025-03-19,"Ken Scott",,
200,tt33984333,2025-06-13,2025-06-13,,"How to Make a Killing","Un ours dans le Jura",https://www.imdb.com/title/tt33984333/,Movie,6.5,109,2024,"Comedy, Crime, Thriller",3256,2025-01-01,"Franck Dubosc",,
201,tt0032138,2025-06-15,2025-06-15,,"The Wizard of Oz","The Wizard of Oz",https://www.imdb.com/title/tt0032138/,Movie,8.1,102,1939,"Adventure, Family, Fantasy, Musical",466009,1939-08-25,"Victor Fleming, George Cukor, Norman Taurog, Richard Thorpe, King Vidor",,
202,tt0099938,2025-06-24,2025-06-24,,"Kindergarten Cop","Kindergarten Cop",https://www.imdb.com/title/tt0099938/,Movie,6.3,111,1990,"Action, Comedy, Crime",174715,1990-12-21,"Ivan Reitman",7,2019-12-26
203,tt12758060,2025-06-29,2025-06-29,,"Tetris","Tetris",https://www.imdb.com/title/tt12758060/,Movie,7.4,118,2023,"Biography, Drama, History, Thriller",106127,2023-03-31,"Jon S. Baird",,
204,tt30840798,2025-07-04,2025-07-04,,"The Phoenician Scheme","The Phoenician Scheme",https://www.imdb.com/title/tt30840798/,Movie,6.6,101,2025,"Action, Comedy, Crime, Drama, Thriller",66486,2025-06-06,"Wes Anderson",,
205,tt0265666,2025-07-13,2025-07-13,,"The Royal Tenenbaums","The Royal Tenenbaums",https://www.imdb.com/title/tt0265666/,Movie,7.6,110,2001,"Comedy, Drama",333611,2002-01-04,"Wes Anderson",7,2019-12-26
206,tt14364480,2025-09-08,2025-09-08,,"Wake Up Dead Man","Wake Up Dead Man",https://www.imdb.com/title/tt14364480/,Movie,7.3,144,2025,"Comedy, Crime, Drama, Mystery, Thriller",225332,2025-12-12,"Rian Johnson",,
207,tt0089374,2025-10-12,2025-10-12,,"Police Story","Ging chaat goo si",https://www.imdb.com/title/tt0089374/,Movie,7.5,100,1985,"Action, Comedy, Crime, Thriller",47205,1985-12-14,"Jackie Chan",,
208,tt36815554,2025-10-12,2025-10-12,,"Lethal Weapon 4: Pure Lethal","Lethal Weapon 4: Pure Lethal",https://www.imdb.com/title/tt36815554/,Video,7.5,30,1998,"Short",6,1998-12-15,,,
209,tt0851578,2025-11-01,2025-11-01,,"Paprika","Papurika",https://www.imdb.com/title/tt0851578/,Movie,7.7,90,2006,"Animation, Drama, Fantasy, Mystery, Sci-Fi, Thriller",111585,2007-06-22,"Satoshi Kon",,
210,tt33764258,2025-11-15,2025-11-15,,"The Odyssey","The Odyssey",https://www.imdb.com/title/tt33764258/,Movie,,,2026,"Action, Adventure, Fantasy, History",0,2026-07-17,"Christopher Nolan",,
211,tt19850008,2025-11-15,2025-11-15,,"The Batman: Part II","The Batman Part II",https://www.imdb.com/title/tt19850008/,Movie,,,2027,"Action, Crime, Drama, Mystery",0,2027-10-01,"Matt Reeves",,
212,tt28069611,2025-11-15,2025-11-15,,"Star Wars: Starfighter","Star Wars: Starfighter",https://www.imdb.com/title/tt28069611/,Movie,,,2027,"Action, Adventure, Fantasy, Sci-Fi",0,2027-05-28,"Shawn Levy",,
213,tt28083456,2025-11-23,2025-11-23,,"Is This Thing On?","Is This Thing On?",https://www.imdb.com/title/tt28083456/,Movie,6.7,121,2025,"Comedy, Drama",11296,2025-12-19,"Bradley Cooper",,
214,tt27714581,2025-11-23,2025-11-23,,"Sentimental Value","Affeksjonsverdi",https://www.imdb.com/title/tt27714581/,Movie,7.8,133,2025,"Drama",67670,2025-08-20,"Joachim Trier",,
215,tt31193180,2025-11-23,2025-11-23,,"Sinners","Sinners",https://www.imdb.com/title/tt31193180/,Movie,7.5,137,2025,"Action, Drama, Horror, Music, Thriller",449856,2025-04-18,"Ryan Coogler",,
216,tt31411349,2025-11-24,2025-11-24,,"Colours of Time","La venue de l'avenir",https://www.imdb.com/title/tt31411349/,Movie,7.2,124,2025,"Comedy, Drama, Romance",3580,2025-05-22,"Cédric Klapisch",,
217,tt1527793,2025-12-22,2025-12-22,,"No Other Choice","Eojjeolsuga eobsda",https://www.imdb.com/title/tt1527793/,Movie,7.6,139,2025,"Comedy, Crime, Drama, Thriller",53846,2026-01-16,"Park Chan-wook",,
218,tt31450459,2025-12-22,2025-12-22,,"Digger","Digger",https://www.imdb.com/title/tt31450459/,Movie,,106,2026,"Comedy, Drama",0,2026-10-02,"Alejandro G. Iñárritu",,
219,tt15678738,2026-01-04,2026-01-04,,"David","David",https://www.imdb.com/title/tt15678738/,Movie,6.9,115,2025,"Animation, Adventure, Drama, Family, Musical",5174,2025-12-19,"Phil Cunningham, Brent Dawes",,
220,tt4627382,2026-01-10,2026-01-10,,"Roofman","Roofman",https://www.imdb.com/title/tt4627382/,Movie,6.9,126,2025,"Biography, Crime, Drama, History, Romance",67007,2025-10-10,"Derek Cianfrance",,
221,tt14905854,2026-01-12,2026-01-12,,"Hamnet","Hamnet",https://www.imdb.com/title/tt14905854/,Movie,7.9,125,2025,"Biography, Drama, History, Romance",97819,2025-12-05,"Chloé Zhao",,
222,tt1312221,2026-01-12,2026-01-12,,"Frankenstein","Frankenstein",https://www.imdb.com/title/tt1312221/,Movie,7.4,149,2025,"Drama, Fantasy, Horror, Sci-Fi",296919,2025-11-07,"Guillermo del Toro",,
223,tt12300742,2026-01-12,2026-01-12,,"Bugonia","Bugonia",https://www.imdb.com/title/tt12300742/,Movie,7.4,118,2025,"Comedy, Crime, Sci-Fi, Thriller",169953,2025-10-31,"Yorgos Lanthimos",,
224,tt36491653,2026-03-16,2026-03-16,,"It Was Just an Accident","Yek tasadof-e sadeh",https://www.imdb.com/title/tt36491653/,Movie,7.5,103,2025,"Crime, Drama, Mystery, Thriller",31071,2025-10-15,"Jafar Panahi",,
225,tt29768334,2026-03-16,2026-03-16,,"Train Dreams","Train Dreams",https://www.imdb.com/title/tt29768334/,Movie,7.5,102,2025,"Drama",97405,2025-11-21,"Clint Bentley",,
226,tt34965515,2026-03-16,2026-03-16,,"Mr. Nobody Against Putin","Mr. Nobody Against Putin",https://www.imdb.com/title/tt34965515/,Movie,7.5,90,2025,"Documentary",8186,2025-03-22,"David Borenstein, Pavel Talankin",,
227,tt0094898,2026-03-19,2026-03-19,,"Coming to America","Coming to America",https://www.imdb.com/title/tt0094898/,Movie,7.1,117,1988,"Comedy, Romance",239335,1988-06-29,"John Landis",,
228,tt0096913,2026-03-26,2026-03-26,,"Best of the Best","Best of the Best",https://www.imdb.com/title/tt0096913/,Movie,6.4,97,1989,"Action, Drama, Sport",16698,1989-11-10,"Robert Radler",,
229,tt1540133,2026-03-28,2026-03-28,,"The Guard","The Guard",https://www.imdb.com/title/tt1540133/,Movie,7.3,96,2011,"Comedy, Crime, Thriller",101261,2011-07-07,"John Michael McDonagh",,
230,tt1588170,2026-03-28,2026-03-28,,"I Saw the Devil","Angmareul boatda",https://www.imdb.com/title/tt1588170/,Movie,7.8,144,2010,"Action, Thriller",164474,2010-08-12,"Kim Jee-woon",,
231,tt0456912,2026-03-28,2026-03-28,,"A Bittersweet Life","Dalkomhan insaeng",https://www.imdb.com/title/tt0456912/,Movie,7.5,119,2005,"Action, Crime, Drama, Thriller",47011,2005-04-01,"Kim Jee-woon",,
232,tt13238346,2026-03-28,2026-03-28,,"Past Lives","Past Lives",https://www.imdb.com/title/tt13238346/,Movie,7.8,105,2023,"Drama, Romance",170964,2023-06-23,"Celine Song",,
