Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
29,tt4221060,2018-09-05,2018-09-05,,"Beneath the Helmet","Beneath the Helmet",https://www.imdb.com/title/tt4221060/,Movie,8.3,80,2014,"Documentary, Action, Biography, Drama",108,2014-10-28,"Wayne Kopping",,
30,tt2361317,2018-09-06,2018-09-06,,"Live by Night","Live by Night",https://www.imdb.com/title/tt2361317/,Movie,6.4,129,2016,"Action, Crime, Drama, Thriller",62199,2017-01-13,"Ben Affleck",,
31,tt6823890,2018-09-09,2018-09-09,,"Kaiser: The Greatest Footballer Never to Play Football","Kaiser: The Greatest Footballer Never to Play Football",https://www.imdb.com/title/tt6823890/,Movie,7.0,97,2018,"Documentary, Biography, Sport",677,2018-04-21,"Louis Myles",,
32,tt6217608,2018-10-29,2018-10-29,,"The Rider","The Rider",https://www.imdb.com/title/tt6217608/,Movie,7.4,104,2017,"Drama, Western",22051,2018-04-13,"Chloé Zhao",,
33,tt7664504,2018-10-29,2018-10-29,,"Three Identical Strangers","Three Identical Strangers",https://www.imdb.com/title/tt7664504/,Movie,7.6,96,2018,"Documentary, Biography, Drama, History, Mystery",44864,2018-11-30,"Tim Wardle",,
34,tt7555774,2018-10-30,2018-10-30,,"At War","En guerre",https://www.imdb.com/title/tt7555774/,Movie,7.0,113,2018,"Drama",2456,2019-07-19,"Stéphane Brizé",,
35,tt5974388,2018-11-05,2018-11-05,,"In Between","Bar Bahar",https://www.imdb.com/title/tt5974388/,Movie,7.3,103,2016,"Drama",3253,2017-01-05,"Maysaloun Hamoud",,
36,tt1355642,2018-12-03,2018-12-03,,"Fullmetal Alchemist: Brotherhood","Hagane no renkinjutsushi",https://www.imdb.com/title/tt1355642/,TV Series,9.1,24,2009,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",245727,2009-04-09,,,
37,tt4216908,2019-02-10,2019-02-10,,"Courted","L'hermine",https://www.imdb.com/title/tt4216908/,Movie,6.6,98,2015,"Comedy, Crime, Drama, Romance",2532,2015-11-18,"Christian Vincent",,
38,tt8267604,2019-03-10,2019-03-10,,"Capernaum","Capharnaüm",https://www.imdb.com/title/tt8267604/,Movie,8.4,126,2018,"Drama",123412,2018-09-20,"Nadine Labaki",,
39,tt7882250,2019-03-16,2019-03-16,,"New Biz in the Hood","Jusqu'ici tout va bien",https://www.imdb.com/title/tt7882250/,Movie,5.9,90,2019,"Comedy",1546,2019-02-27,"Mohamed Hamidi",,
40,tt0120762,2019-03-24,2019-03-24,,"Mulan","Mulan",https://www.imdb.com/title/tt0120762/,Movie,7.7,87,1998,"Animation, Adventure, Comedy, Family, Fantasy, Musical, War",344531,1998-06-19,"Tony Bancroft, Barry Cook",,
41,tt8075192,2019-05-19,2019-05-19,,"Shoplifters","Manbiki kazoku",https://www.imdb.com/title/tt8075192/,Movie,7.9,121,2018,"Crime, Drama, Thriller",94742,2018-11-23,"Hirokazu Koreeda",,
42,tt0276919,2019-05-19,2019-05-19,,"Dogville","Dogville",https://www.imdb.com/title/tt0276919/,Movie,8.0,171,2003,"Crime, Drama",168157,2004-04-23,"Lars von Trier",,
43,tt7349662,2019-05-21,2019-05-21,,"BlacKkKlansman","BlacKkKlansman",https://www.imdb.com/title/tt7349662/,Movie,7.5,135,2018,"Biography, Comedy, Crime, Drama",313528,2018-08-10,"Spike Lee",,
44,tt1527186,2019-06-03,2019-06-03,,"Melancholia","Melancholia",https://www.imdb.com/title/tt1527186/,Movie,7.1,135,2011,"Drama, Sci-Fi",207605,2011-05-26,"Lars von Trier",,
45,tt10090796,2019-06-03,2019-06-03,,"Game of Thrones: The Last Watch","Game of Thrones: The Last Watch",https://www.imdb.com/title/tt10090796/,TV Movie,7.1,114,2019,"Documentary",6975,2019-05-26,"Jeanie Finlay",,
46,tt7984734,2019-06-03,2019-06-03,,"The Lighthouse","The Lighthouse",https://www.imdb.com/title/tt7984734/,Movie,7.4,109,2019,"Drama, Fantasy, Horror, Mystery, Thriller",300175,2019-11-01,"Robert Eggers",,
47,tt2935510,2019-06-06,2019-06-06,,"Ad Astra","Ad Astra",https://www.imdb.com/title/tt2935510/,Movie,6.5,123,2019,"Adventure, Drama, Mystery, Sci-Fi, Thriller",279626,2019-09-20,"James Gray",,
48,tt0494222,2019-06-10,2019-06-10,,"Eagle vs Shark","Eagle vs Shark",https://www.imdb.com/title/tt0494222/,Movie,6.7,88,2007,"Comedy, Romance",27535,2007-08-30,"Taika Waititi",,
49,tt3170832,2019-06-10,2019-06-10,,"Room","Room",https://www.imdb.com/title/tt3170832/,Movie,8.1,118,2015,"Drama, Thriller",478923,2016-01-22,"Lenny Abrahamson",,
50,tt5074352,2019-06-16,2019-06-16,,"Dangal","Dangal",https://www.imdb.com/title/tt5074352/,Movie,8.3,161,2016,"Action, Biography, Drama, Sport",241339,2016-12-21,"Nitesh Tiwari",,
51,tt0113133,2019-06-28,2019-06-28,,"Funny Bones","Funny Bones",https://www.imdb.com/title/tt0113133/,Movie,6.7,128,1995,"Comedy, Drama",4056,1995-03-31,"Peter Chelsom",,
52,tt4400058,2019-07-14,2019-07-14,,"Babysitting 2","Babysitting 2",https://www.imdb.com/title/tt4400058/,Movie,6.4,93,2015,"Comedy",8420,2015-12-02,"Nicolas Benamou, Philippe Lacheau",,
53,tt8806524,2019-07-21,2019-07-21,,"Star Trek: Picard","Star Trek: Picard",https://www.imdb.com/title/tt8806524/,TV Series,7.5,46,2020,"Action, Adventure, Drama, Sci-Fi",101204,2020-01-23,,,
